Inserted Genomes, Total BP Epochs, Time, Best Val. MAE, Best Val. MSE, Enabled Nodes, Enabled Edges, Enabled Rec. Edges,Island_0_best_fitness,Island_0_worst_fitness,Island_1_best_fitness,Island_1_worst_fitness,Island_2_best_fitness,Island_2_worst_fitness,Island_3_best_fitness,Island_3_worst_fitness,Island_4_best_fitness,Island_4_worst_fitness,Island_5_best_fitness,Island_5_worst_fitness,Island_6_best_fitness,Island_6_worst_fitness,Island_7_best_fitness,Island_7_worst_fitness,Island_8_best_fitness,Island_8_worst_fitness,Island_9_best_fitness,Island_9_worst_fitness
32,10,789,0.132083,0.0292021,5,4,0,0.029202,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
34,20,921,0.132083,0.0292021,5,4,0,0.029202,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.038452,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
36,30,936,0.132083,0.0292021,5,4,0,0.029202,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.039886,10000000.000000,10000000.000000,10000000.000000,0.038452,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
38,40,1020,0.132083,0.0292021,5,4,0,0.029202,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.039886,10000000.000000,10000000.000000,10000000.000000,0.038452,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
40,50,1022,0.132083,0.0292021,5,4,0,0.029202,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.039886,10000000.000000,0.105239,10000000.000000,0.038452,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
42,60,1022,0.132083,0.0292021,5,4,0,0.029202,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.039886,10000000.000000,0.105239,10000000.000000,0.038452,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
44,70,1026,0.132083,0.0292021,5,4,0,0.029202,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.030321,10000000.000000,10000000.000000,10000000.000000,0.039886,10000000.000000,0.105239,10000000.000000,0.038452,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
46,80,1057,0.132083,0.0292021,5,4,0,0.029202,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.030321,10000000.000000,10000000.000000,10000000.000000,0.039886,10000000.000000,0.095529,10000000.000000,0.038452,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
48,90,1075,0.132083,0.0292021,5,4,0,0.029202,10000000.000000,0.030515,10000000.000000,10000000.000000,10000000.000000,0.030321,10000000.000000,10000000.000000,10000000.000000,0.039886,10000000.000000,0.095529,10000000.000000,0.038452,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
50,100,1088,0.132083,0.0292021,5,4,0,0.029202,10000000.000000,0.030515,10000000.000000,10000000.000000,10000000.000000,0.030321,10000000.000000,10000000.000000,10000000.000000,0.039886,10000000.000000,0.095529,10000000.000000,0.038452,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
