stock,model,har_beta_0,har_beta_1,har_beta_2,har_beta_3,calib_a,calib_b,converged,persistence,median_sigma,error,har_pooled_beta_0,har_pooled_beta_1,har_pooled_beta_2,har_pooled_beta_3
SH600000,naive,,,,,,,,,,,,,,
SH600000,har,0.1734357449123704,0.39045668607459666,0.327126029132329,-0.5050477962041314,,,,,,,,,,
SH600000,har_x,,,,,,,,,,,,,,
SH600000,ewma,,,,,-1.0964027481541267,0.7977902700957883,True,,,,,,,
SH600000,garch,,,,,-0.708287617635395,0.8992563888514897,True,1.0000000000246292,0.012314559991975612,,,,,
SH600000,egarch,,,,,-0.669128195072627,0.9209366164855763,True,0.9474175317758321,0.013329994598186488,,,,,
SH600009,naive,,,,,,,,,,,,,,
SH600009,har,0.11044786107536866,0.361747770409156,0.4429362673843827,-0.3637385301164336,,,,,,,,,,
SH600009,har_x,,,,,,,,,,,,,,
SH600009,ewma,,,,,-0.924573267347697,0.8164966528753658,True,,,,,,,
SH600009,garch,,,,,-0.6060725365811039,0.9058336266649706,True,1.0000000000000036,0.02046611527793934,,,,,
SH600009,egarch,,,,,-0.5281343006316201,0.9278079201174239,True,0.9886029350366462,0.020820239594936216,,,,,
SH600010,naive,,,,,,,,,,,,,,
SH600010,har,0.16684162977385117,0.3774166785380058,0.3281321744545197,-0.5334976565322128,,,,,,,,,,
SH600010,har_x,,,,,,,,,,,,,,
SH600010,ewma,,,,,-1.0559255919298536,0.7894696269180856,True,,,,,,,
SH600010,garch,,,,,-0.730136203171241,0.8834086907350011,True,0.997461747125165,0.017821130474348024,,,,,
SH600010,egarch,,,,,-0.7690172379001169,0.8758148831352247,True,0.9912721946603613,0.01837116609933408,,,,,
SH600011,naive,,,,,,,,,,,,,,
SH600011,har,0.14804710269079127,0.49468045254889936,0.26741628580818116,-0.3918540235463709,,,,,,,,,,
SH600011,har_x,,,,,,,,,,,,,,
SH600011,ewma,,,,,-1.0149426278569451,0.8333018241292307,True,,,,,,,
SH600011,garch,,,,,-0.47567868594001755,0.9861416210883692,True,1.000000000256108,0.018989370880947015,,,,,
SH600011,egarch,,,,,-0.4184558614137826,1.0074045482835645,True,0.9798048480918544,0.02026178661358653,,,,,
SH600015,naive,,,,,,,,,,,,,,
SH600015,har,0.15858852424198547,0.32721753248998103,0.3971542922171264,-0.5432938706256725,,,,,,,,,,
SH600015,har_x,,,,,,,,,,,,,,
SH600015,ewma,,,,,-0.989252697505013,0.8346113443812491,True,,,,,,,
SH600015,garch,,,,,-0.5476353447392782,0.946226389390688,True,0.9934058408319673,0.01162638688755368,,,,,
SH600015,egarch,,,,,-0.5321856967664667,0.9487950792716988,True,0.9903541028993225,0.011467320892028536,,,,,
SH600016,naive,,,,,,,,,,,,,,
SH600016,har,0.23009082634828096,0.30416737056102683,0.3136690755119286,-0.7147169875634609,,,,,,,,,,
SH600016,har_x,,,,,,,,,,,,,,
SH600016,ewma,,,,,-1.252014361077809,0.7726699341030883,True,,,,,,,
SH600016,garch,,,,,-0.7820858751005442,0.8950274596880354,True,0.9999999999998489,0.011224356329918063,,,,,
SH600016,egarch,,,,,-0.5931728596708447,0.9416913511717285,True,0.9845041563881592,0.011770115963320602,,,,,
SH600018,naive,,,,,,,,,,,,,,
SH600018,har,0.19212926716191284,0.45435173160118747,0.2065481367472226,-0.6263791876568859,,,,,,,,,,
SH600018,har_x,,,,,,,,,,,,,,
SH600018,ewma,,,,,-1.3217532334462399,0.7321225829447855,True,,,,,,,
SH600018,garch,,,,,-0.014290811627593925,1.0936712210495372,True,0.9736308788264003,0.018082612293256743,,,,,
SH600018,egarch,,,,,0.01667448360245255,1.1056043882680744,True,0.9632554992489172,0.018875695075470954,,,,,
SH600019,naive,,,,,,,,,,,,,,
SH600019,har,0.15627815512724083,0.5656022483125006,0.05735434279756516,-0.8898821249941486,,,,,,,,,,
SH600019,har_x,,,,,,,,,,,,,,
SH600019,ewma,,,,,-1.3640403616572783,0.7204849568432617,True,,,,,,,
SH600019,garch,,,,,-0.18055174301179186,1.050730627223838,True,0.95012856284736,0.02109713027006185,,,,,
SH600019,egarch,,,,,0.1356592303236007,1.1431449870392216,True,0.9369031889895989,0.02183810424940058,,,,,
SH600023,naive,,,,,,,,,,,,,,
SH600023,har,0.06383431630903526,0.4944721076813007,0.376836599158496,-0.3019606819339167,,,,,,,,,,
SH600023,har_x,,,,,,,,,,,,,,
SH600023,ewma,,,,,-1.1508616236549818,0.7789745067370683,True,,,,,,,
SH600023,garch,,,,,-0.918471643457897,0.8426036128083566,True,0.997567575686505,0.011232194228586529,,,,,
SH600023,egarch,,,,,-0.9661824312366246,0.8323673121465126,True,0.9973616750476845,0.01126922765348344,,,,,
SH600028,naive,,,,,,,,,,,,,,
SH600028,har,0.1757313412552785,0.41716449029690783,0.26254182929624287,-0.6589399898350444,,,,,,,,,,
SH600028,har_x,,,,,,,,,,,,,,
SH600028,ewma,,,,,-1.4395873415608393,0.7133024800174242,True,,,,,,,
SH600028,garch,,,,,-1.200895049677418,0.7743236842796357,True,1.0,0.013210233101286401,,,,,
SH600028,egarch,,,,,-1.1621374524695804,0.7851668324388382,True,0.9951356189044207,0.013684287273067485,,,,,
SH600029,naive,,,,,,,,,,,,,,
SH600029,har,0.10634305304936917,0.3901583524880829,0.37516921954140764,-0.4976362553254895,,,,,,,,,,
SH600029,har_x,,,,,,,,,,,,,,
SH600029,ewma,,,,,-1.2426540744443613,0.7170906785177918,True,,,,,,,
SH600029,garch,,,,,-0.9796735709122041,0.8017725104236715,True,0.9979608934119528,0.023637114493469582,,,,,
SH600029,egarch,,,,,-0.8856864604845796,0.8256393914149105,True,0.9956887567639353,0.022147686827197758,,,,,
SH600030,naive,,,,,,,,,,,,,,
SH600030,har,0.1147096189569315,0.33932808631241773,0.45891888353098864,-0.3762605162910257,,,,,,,,,,
SH600030,har_x,,,,,,,,,,,,,,
SH600030,ewma,,,,,-1.1954212016135295,0.7588366357677755,True,,,,,,,
SH600030,garch,,,,,-0.9171870296276595,0.8421373068742084,True,1.0000000000382498,0.021019231748489065,,,,,
SH600030,egarch,,,,,-1.0003495493238628,0.8216999425746896,True,0.9945113386344301,0.021188546346507253,,,,,
SH600031,naive,,,,,,,,,,,,,,
SH600031,har,0.1149932728534857,0.2199844962327751,0.5286034237905874,-0.5530164536602523,,,,,,,,,,
SH600031,har_x,,,,,,,,,,,,,,
SH600031,ewma,,,,,-1.6139491180702186,0.6413362941409275,True,,,,,,,
SH600031,garch,,,,,-1.1852273439544185,0.7651669449401632,True,0.99361584275288,0.0210913989003422,,,,,
SH600031,egarch,,,,,-1.0937674355443319,0.790835542050152,True,0.9905641433971246,0.021800193854194055,,,,,
SH600036,naive,,,,,,,,,,,,,,
SH600036,har,0.09094218569482017,0.25102714525860953,0.5014637067187164,-0.6872815936971274,,,,,,,,,,
SH600036,har_x,,,,,,,,,,,,,,
SH600036,ewma,,,,,-1.2623385815517818,0.7445970715705641,True,,,,,,,
SH600036,garch,,,,,-0.6205436346458761,0.912742689553203,True,0.993280923142045,0.01723701919388273,,,,,
SH600036,egarch,,,,,-0.4660043510404049,0.9521211707009937,True,0.9837496117810371,0.017583357894276758,,,,,
SH600038,naive,,,,,,,,,,,,,,
SH600038,har,0.08426377200203523,0.39242419320548305,0.37563241473375714,-0.5752185872716327,,,,,,,,,,
SH600038,har_x,,,,,,,,,,,,,,
SH600038,ewma,,,,,-0.9483807348659999,0.7967158728781271,True,,,,,,,
SH600038,garch,,,,,-0.32557643019706567,0.9740941955141191,True,0.9817695919170422,0.022746808215070375,,,,,
SH600038,egarch,,,,,-0.4427405327697269,0.9443219955355049,True,0.9826391348779445,0.023397941133001757,,,,,
SH600048,naive,,,,,,,,,,,,,,
SH600048,har,0.14717567147521338,0.5148721732653735,0.17224772540195593,-0.6795997421704746,,,,,,,,,,
SH600048,har_x,,,,,,,,,,,,,,
SH600048,ewma,,,,,-1.2841686981354459,0.7316221322627041,True,,,,,,,
SH600048,garch,,,,,-0.7080934597204182,0.9001539603799101,True,0.9948818603280506,0.022777466829187132,,,,,
SH600048,egarch,,,,,-0.8063128026185045,0.8733887786457618,True,0.9766633763199812,0.02368769296723581,,,,,
SH600050,naive,,,,,,,,,,,,,,
SH600050,har,0.14672750270187757,0.4448759499178692,0.2145582463510011,-0.7624440103473064,,,,,,,,,,
SH600050,har_x,,,,,,,,,,,,,,
SH600050,ewma,,,,,-0.7925928432465467,0.8730448292063374,True,,,,,,,
SH600050,garch,,,,,0.10268686739758101,1.1440701149158374,True,0.9744183708191015,0.023455557708858318,,,,,
SH600050,egarch,,,,,0.40109368943702745,1.2316764713758563,True,0.928236131779279,0.024648149652288523,,,,,
SH600061,naive,,,,,,,,,,,,,,
SH600061,har,0.09726031020225322,0.1403900316002459,0.18833253924323476,-2.6263608132681826,,,,,,,,,,
SH600061,har_x,,,,,,,,,,,,,,
SH600061,ewma,,,,,-3.081530533321975,0.3271323915267149,True,,,,,,,
SH600061,garch,,,,,-0.8806921024949715,0.8216782672405342,True,0.33554372904315194,0.01082937540012402,,,,,
SH600061,egarch,,,,,-0.7161352217063414,0.8548777160326378,True,0.5847513778858157,0.011792931569420951,,,,,
SH600066,naive,,,,,,,,,,,,,,
SH600066,har,0.0649308534639879,0.24691470985191424,0.5738759249783452,-0.48607722646615487,,,,,,,,,,
SH600066,har_x,,,,,,,,,,,,,,
SH600066,ewma,,,,,-0.8197936087130535,0.8410467088656056,True,,,,,,,
SH600066,garch,,,,,-0.020236476203897277,1.053319965145833,True,0.9909267543200937,0.019461692478584074,,,,,
SH600066,egarch,,,,,-0.22896003038988996,1.000640834452403,True,0.9922858062656174,0.019615467957294148,,,,,
SH600068,naive,,,,,,,,,,,,,,
SH600068,har,0.13636565261037642,0.3588907054523145,0.3242088290136286,-0.7178259058732737,,,,,,,,,,
SH600068,har_x,,,,,,,,,,,,,,
SH600068,ewma,,,,,-1.0721334405482252,0.7816624767601504,True,,,,,,,
SH600068,garch,,,,,-0.36468446874090166,0.9832060863089243,True,0.984672682329188,0.022739410585450898,,,,,
SH600068,egarch,,,,,-0.44178076545483147,0.9623973492154319,True,0.9902626942402797,0.02229858624764419,,,,,
SH600085,naive,,,,,,,,,,,,,,
SH600085,har,0.10258773560118288,0.4684980845644772,0.32042739456181335,-0.46343999535379826,,,,,,,,,,
SH600085,har_x,,,,,,,,,,,,,,
SH600085,ewma,,,,,-1.2354486433208116,0.7599304201727584,True,,,,,,,
SH600085,garch,,,,,-0.7839153144797568,0.8877854553150677,True,1.0000000000080453,0.017074461989940594,,,,,
SH600085,egarch,,,,,-0.7810030389719285,0.8860520127272375,True,0.9877014878783429,0.017022363682709755,,,,,
SH600089,naive,,,,,,,,,,,,,,
SH600089,har,0.0952652451047657,0.47487865687361225,0.26237995076243825,-0.7155435388369064,,,,,,,,,,
SH600089,har_x,,,,,,,,,,,,,,
SH600089,ewma,,,,,-1.4182899017358175,0.7140026984945507,True,,,,,,,
SH600089,garch,,,,,-0.9701740202623628,0.8393633880391155,True,0.9950226561366666,0.01733515420982445,,,,,
SH600089,egarch,,,,,-1.118185854756671,0.8016066239703541,True,1.0,0.016412897126060436,,,,,
SH600100,naive,,,,,,,,,,,,,,
SH600100,har,0.20034613343249952,0.07773511179247457,0.5470931395626686,-0.7137713802884744,,,,,,,,,,
SH600100,har_x,,,,,,,,,,,,,,
SH600100,ewma,,,,,-1.1465566368554776,0.7878452298017613,True,,,,,,,
SH600100,garch,,,,,-0.8837195441397397,0.8735649130607412,True,0.9995025165983225,0.02450924887448154,,,,,
SH600100,egarch,,,,,-0.7570045095335634,0.9103002469810306,True,0.9800607573071026,0.02466571598618053,,,,,
SH600104,naive,,,,,,,,,,,,,,
SH600104,har,0.08370777246721023,0.4239078993975801,0.23593926712246638,-1.1007309329460453,,,,,,,,,,
SH600104,har_x,,,,,,,,,,,,,,
SH600104,ewma,,,,,-1.8493936578799701,0.6039508379007631,True,,,,,,,
SH600104,garch,,,,,-1.1099656511434062,0.798816516111293,True,0.9815225916861232,0.018088284908999087,,,,,
SH600104,egarch,,,,,-0.8550377349320823,0.8683238246364636,True,0.9747324285911605,0.019012754597004432,,,,,
SH600109,naive,,,,,,,,,,,,,,
SH600109,har,0.08539933204799294,0.20507950479530312,0.6168502038312633,-0.38683676800039807,,,,,,,,,,
SH600109,har_x,,,,,,,,,,,,,,
SH600109,ewma,,,,,-1.1441301555414176,0.7639663268907096,True,,,,,,,
SH600109,garch,,,,,-0.8405248571113634,0.8462392720703213,True,0.9945158686812431,0.022361817538030883,,,,,
SH600109,egarch,,,,,-0.9666573712056247,0.8146720860541345,True,0.9965519380433865,0.0221197206563365,,,,,
SH600111,naive,,,,,,,,,,,,,,
SH600111,har,0.12524868133043635,0.4369882519100185,0.3234214644302114,-0.45397079328486717,,,,,,,,,,
SH600111,har_x,,,,,,,,,,,,,,
SH600111,ewma,,,,,-0.9047588742346095,0.8167369536651752,True,,,,,,,
SH600111,garch,,,,,-0.3453902390578233,0.9881112637995884,True,0.9964768492008667,0.02373051033375747,,,,,
SH600111,egarch,,,,,-0.29340761617922223,1.0000620622368213,True,0.9822487052828717,0.023215179100546917,,,,,
SH600115,naive,,,,,,,,,,,,,,
SH600115,har,0.14155172787585935,0.3109336502329547,0.4351732848020544,-0.45291768308857366,,,,,,,,,,
SH600115,har_x,,,,,,,,,,,,,,
SH600115,ewma,,,,,-1.1905622021617894,0.7448687947958037,True,,,,,,,
SH600115,garch,,,,,-0.8702894742792365,0.8435610905326771,True,0.9995317720184823,0.022138979041286033,,,,,
SH600115,egarch,,,,,-0.7617753469286304,0.8710942254067191,True,0.9872698376970609,0.02254829974006405,,,,,
SH600118,naive,,,,,,,,,,,,,,
SH600118,har,0.050033728641890214,0.24937575210080554,0.6116153759044816,-0.3775359965470837,,,,,,,,,,
SH600118,har_x,,,,,,,,,,,,,,
SH600118,ewma,,,,,-0.8011576864582225,0.8629454369417187,True,,,,,,,
SH600118,garch,,,,,-0.30290615401380094,1.003778302900392,True,0.9894886713594598,0.02019797806825268,,,,,
SH600118,egarch,,,,,-0.387990642236814,0.9838700190603467,True,0.9873397692779,0.020886995381412143,,,,,
SH600153,naive,,,,,,,,,,,,,,
SH600153,har,0.1972519934127216,0.10075209031204915,0.4504305774116046,-1.093233825262481,,,,,,,,,,
SH600153,har_x,,,,,,,,,,,,,,
SH600153,ewma,,,,,-2.4371495463077646,0.4660887700474207,True,,,,,,,
SH600153,garch,,,,,-1.8350669764968854,0.6242559579609833,True,0.9954971837731464,0.017006403555278132,,,,,
SH600153,egarch,,,,,-1.4841234317371523,0.7018441533014903,True,0.9940883410959862,0.015903209298521362,,,,,
SH600157,naive,,,,,,,,,,,,,,
SH600157,har,0.13868778087423023,0.13287477989087218,0.5450534619927141,-0.7861253624615224,,,,,,,,,,
SH600157,har_x,,,,,,,,,,,,,,
SH600157,ewma,,,,,-1.525126005948594,0.6907949077158567,True,,,,,,,
SH600157,garch,,,,,-1.3437683482734601,0.7367381869482541,True,0.995547303155532,0.022447625627480136,,,,,
SH600157,egarch,,,,,-1.3743689170339843,0.7298442518514965,True,0.9931111817955925,0.022849753474848848,,,,,
SH600170,naive,,,,,,,,,,,,,,
SH600170,har,0.12488024522899373,0.3563989075174873,0.4292064834696717,-0.4025040589013218,,,,,,,,,,
SH600170,har_x,,,,,,,,,,,,,,
SH600170,ewma,,,,,-1.0883986007729813,0.7944684965255396,True,,,,,,,
SH600170,garch,,,,,-0.8781528095203642,0.8530960779332065,True,1.0000000000001035,0.014246381955557113,,,,,
SH600170,egarch,,,,,-0.8184538427796197,0.8701532162725539,True,0.9932465044544857,0.014439454915254925,,,,,
SH600177,naive,,,,,,,,,,,,,,
SH600177,har,0.09001173193979205,0.3111675336505849,0.5270068080887008,-0.3395588320936286,,,,,,,,,,
SH600177,har_x,,,,,,,,,,,,,,
SH600177,ewma,,,,,-1.1607860631388616,0.7993567452965391,True,,,,,,,
SH600177,garch,,,,,-1.000508580731072,0.8398465372288239,True,0.9999999999999994,0.013166614185164401,,,,,
SH600177,egarch,,,,,-1.0588666285943147,0.8286215714469057,True,0.9967590059036113,0.013298175051803363,,,,,
SH600188,naive,,,,,,,,,,,,,,
SH600188,har,0.10194545657382992,0.4574010427206327,0.25438848330109187,-0.7009557658517951,,,,,,,,,,
SH600188,har_x,,,,,,,,,,,,,,
SH600188,ewma,,,,,-1.2864338927755612,0.6980873532734804,True,,,,,,,
SH600188,garch,,,,,-0.8948085609045624,0.8228077841380389,True,0.9953864151591054,0.025843495391344083,,,,,
SH600188,egarch,,,,,-0.7690618477540054,0.8587310374185427,True,0.9888979737982927,0.025683435734175322,,,,,
SH600196,naive,,,,,,,,,,,,,,
SH600196,har,0.020268703040775254,0.4121735445592947,0.4356292489969561,-0.5415294314905669,,,,,,,,,,
SH600196,har_x,,,,,,,,,,,,,,
SH600196,ewma,,,,,-1.4272326793011059,0.6855065631996643,True,,,,,,,
SH600196,garch,,,,,-1.0767783928127068,0.7897899365234771,True,0.9975565485544028,0.02417535483304912,,,,,
SH600196,egarch,,,,,-1.230726430650176,0.7486017403570187,True,0.9975953508755437,0.024719007456253952,,,,,
SH600208,naive,,,,,,,,,,,,,,
SH600208,har,0.11267362742668757,0.1255235292169168,0.5758993543201568,-0.7708352854710161,,,,,,,,,,
SH600208,har_x,,,,,,,,,,,,,,
SH600208,ewma,,,,,-1.3057271167483209,0.7284130654321062,True,,,,,,,
SH600208,garch,,,,,-0.8852808775946868,0.8526109828652696,True,0.9885897193220523,0.020763725994840727,,,,,
SH600208,egarch,,,,,-0.8374767157324506,0.8682885465654336,True,0.9622261732780522,0.02150710816011515,,,,,
SH600221,naive,,,,,,,,,,,,,,
SH600221,har,0.10649691838212867,0.11366462170664682,0.6816208553022948,-0.45021726295537146,,,,,,,,,,
SH600221,har_x,,,,,,,,,,,,,,
SH600221,ewma,,,,,-1.4298509611338872,0.7216987062032989,True,,,,,,,
SH600221,garch,,,,,-1.2208993766117349,0.7776826915929077,True,0.9949593620417045,0.017801622062148272,,,,,
SH600221,egarch,,,,,-1.133276199353976,0.8008596271684522,True,0.9929343567953018,0.016344387393008947,,,,,
SH600233,naive,,,,,,,,,,,,,,
SH600233,har,0.2473819217056533,0.2529681869527132,0.06395866006922676,-1.8751174954941958,,,,,,,,,,
SH600233,har_x,,,,,,,,,,,,,,
SH600233,ewma,,,,,-2.3683431412420535,0.48763118546506434,True,,,,,,,
SH600233,garch,,,,,-1.6420902652371614,0.7000554491980098,True,1.0000000000000004,0.02131864845877602,,,,,
SH600233,egarch,,,,,-1.405275243367462,0.7616927229644168,True,0.8419521994166109,0.021960996450251975,,,,,
SH600271,naive,,,,,,,,,,,,,,
SH600271,har,0.1368783121654144,0.08972075248846804,0.6490792913362332,-0.5243865607069683,,,,,,,,,,
SH600271,har_x,,,,,,,,,,,,,,
SH600271,ewma,,,,,-0.8947311302853383,0.8388698175053171,True,,,,,,,
SH600271,garch,,,,,-0.49996040326953334,0.9561305659661139,True,0.9955805619151027,0.023218948800504423,,,,,
SH600271,egarch,,,,,-0.5612087705666753,0.9435278409219632,True,0.9863706026723732,0.023882571694625133,,,,,
SH600276,naive,,,,,,,,,,,,,,
SH600276,har,0.0728662559856947,0.3006086838598292,0.5045714592013669,-0.5234838823755972,,,,,,,,,,
SH600276,har_x,,,,,,,,,,,,,,
SH600276,ewma,,,,,-1.310618944392235,0.7201877083682089,True,,,,,,,
