Inserted Genomes, Total BP Epochs, Time, Best Val. MAE, Best Val. MSE, Enabled Nodes, Enabled Edges, Enabled Rec. Edges,Island_0_best_fitness,Island_0_worst_fitness,Island_1_best_fitness,Island_1_worst_fitness,Island_2_best_fitness,Island_2_worst_fitness,Island_3_best_fitness,Island_3_worst_fitness,Island_4_best_fitness,Island_4_worst_fitness,Island_5_best_fitness,Island_5_worst_fitness,Island_6_best_fitness,Island_6_worst_fitness,Island_7_best_fitness,Island_7_worst_fitness,Island_8_best_fitness,Island_8_worst_fitness,Island_9_best_fitness,Island_9_worst_fitness
32,10,941,0.161902,0.0421043,6,4,0,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.042104,10000000.000000
34,20,969,0.161902,0.0421043,6,4,0,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.052023,10000000.000000,10000000.000000,10000000.000000,0.042104,10000000.000000
36,30,986,0.161902,0.0421043,6,4,0,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.052023,10000000.000000,10000000.000000,10000000.000000,0.042104,10000000.000000
38,40,992,0.143434,0.0338777,6,4,0,0.033878,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.052023,10000000.000000,10000000.000000,10000000.000000,0.042104,10000000.000000
40,50,1003,0.13467,0.0302105,6,4,0,0.030211,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.052023,10000000.000000,10000000.000000,10000000.000000,0.042104,10000000.000000
42,60,1008,0.13467,0.0302105,6,4,0,0.030211,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.299828,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.052023,10000000.000000,10000000.000000,10000000.000000,0.042104,10000000.000000
44,70,1016,0.13467,0.0302105,6,4,0,0.030211,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.299828,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.052023,10000000.000000,10000000.000000,10000000.000000,0.042104,10000000.000000
46,80,1038,0.13467,0.0302105,6,4,0,0.030211,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.299828,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.052023,10000000.000000,10000000.000000,10000000.000000,0.042104,10000000.000000
48,90,1041,0.13467,0.0302105,6,4,0,0.030211,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.299828,10000000.000000,10000000.000000,10000000.000000,0.107355,10000000.000000,0.052023,10000000.000000,10000000.000000,10000000.000000,0.042104,10000000.000000
49,100,1041,0.130496,0.0292452,6,4,0,0.029245,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.299828,10000000.000000,10000000.000000,10000000.000000,0.107355,10000000.000000,0.052023,10000000.000000,10000000.000000,10000000.000000,0.042104,10000000.000000
