Inserted Genomes, Total BP Epochs, Time, Best Val. MAE, Best Val. MSE, Enabled Nodes, Enabled Edges, Enabled Rec. Edges,Island_0_best_fitness,Island_0_worst_fitness,Island_1_best_fitness,Island_1_worst_fitness,Island_2_best_fitness,Island_2_worst_fitness,Island_3_best_fitness,Island_3_worst_fitness,Island_4_best_fitness,Island_4_worst_fitness,Island_5_best_fitness,Island_5_worst_fitness,Island_6_best_fitness,Island_6_worst_fitness,Island_7_best_fitness,Island_7_worst_fitness,Island_8_best_fitness,Island_8_worst_fitness,Island_9_best_fitness,Island_9_worst_fitness
32,10,941,0.452625,0.320187,5,5,0,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.320187,10000000.000000,10000000.000000,10000000.000000
34,20,1002,0.452625,0.320187,5,5,0,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,1.013214,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.320187,10000000.000000,10000000.000000,10000000.000000
36,30,1002,0.226624,0.0798986,5,5,0,0.079899,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,1.013214,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.320187,10000000.000000,10000000.000000,10000000.000000
38,40,1016,0.226624,0.0798986,5,5,0,0.079899,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.523240,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.320187,10000000.000000,10000000.000000,10000000.000000
40,50,1022,0.199647,0.0632758,5,5,0,0.079899,10000000.000000,10000000.000000,10000000.000000,0.063276,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.523240,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.320187,10000000.000000,10000000.000000,10000000.000000
42,60,1120,0.199647,0.0632758,5,5,0,0.074025,10000000.000000,10000000.000000,10000000.000000,0.063276,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.523240,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.320187,10000000.000000,10000000.000000,10000000.000000
44,70,1165,0.122828,0.0258128,6,5,0,0.074025,10000000.000000,10000000.000000,10000000.000000,0.063276,10000000.000000,0.025813,10000000.000000,10000000.000000,10000000.000000,0.523240,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.320187,10000000.000000,10000000.000000,10000000.000000
46,80,1181,0.122874,0.0258025,6,5,0,0.074025,10000000.000000,10000000.000000,10000000.000000,0.063276,10000000.000000,0.025802,10000000.000000,10000000.000000,10000000.000000,0.523240,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.320187,10000000.000000,10000000.000000,10000000.000000
48,90,1265,0.122874,0.0258025,6,5,0,0.074025,10000000.000000,10000000.000000,10000000.000000,0.063276,10000000.000000,0.025802,10000000.000000,10000000.000000,10000000.000000,0.523240,10000000.000000,10000000.000000,10000000.000000,0.027235,10000000.000000,0.320187,10000000.000000,10000000.000000,10000000.000000
50,100,1266,0.122874,0.0258025,6,5,0,0.074025,10000000.000000,10000000.000000,10000000.000000,0.041108,10000000.000000,0.025802,10000000.000000,10000000.000000,10000000.000000,0.523240,10000000.000000,10000000.000000,10000000.000000,0.027235,10000000.000000,0.320187,10000000.000000,10000000.000000,10000000.000000
52,110,1273,0.122874,0.0258025,6,5,0,0.074025,10000000.000000,10000000.000000,10000000.000000,0.041108,10000000.000000,0.025802,10000000.000000,10000000.000000,10000000.000000,0.523240,10000000.000000,0.034184,10000000.000000,0.027235,10000000.000000,0.320187,10000000.000000,10000000.000000,10000000.000000
54,120,1280,0.122874,0.0258025,6,5,0,0.074025,10000000.000000,10000000.000000,10000000.000000,0.041108,10000000.000000,0.025802,10000000.000000,10000000.000000,10000000.000000,0.032709,10000000.000000,0.034184,10000000.000000,0.027235,10000000.000000,0.320187,10000000.000000,10000000.000000,10000000.000000
56,130,1282,0.122874,0.0258025,6,5,0,0.074025,10000000.000000,10000000.000000,10000000.000000,0.041108,10000000.000000,0.025802,10000000.000000,10000000.000000,10000000.000000,0.032709,10000000.000000,0.034184,10000000.000000,0.027235,10000000.000000,0.320187,10000000.000000,0.027419,10000000.000000
58,140,1285,0.122874,0.0258025,6,5,0,0.074025,10000000.000000,0.026783,10000000.000000,0.041108,10000000.000000,0.025802,10000000.000000,10000000.000000,10000000.000000,0.032709,10000000.000000,0.034184,10000000.000000,0.027235,10000000.000000,0.320187,10000000.000000,0.027419,10000000.000000
60,150,1287,0.122874,0.0258025,6,5,0,0.074025,10000000.000000,0.026783,10000000.000000,0.041108,10000000.000000,0.025802,10000000.000000,10000000.000000,10000000.000000,0.032709,10000000.000000,0.034184,10000000.000000,0.027235,10000000.000000,0.320187,10000000.000000,0.027419,10000000.000000
62,160,1289,0.122874,0.0258025,6,5,0,0.074025,10000000.000000,0.026783,10000000.000000,0.041108,10000000.000000,0.025802,10000000.000000,10000000.000000,10000000.000000,0.032709,10000000.000000,0.034184,10000000.000000,0.027235,10000000.000000,0.320187,10000000.000000,0.027419,10000000.000000
64,170,1304,0.122874,0.0258025,6,5,0,0.074025,10000000.000000,0.026783,10000000.000000,0.041108,10000000.000000,0.025802,10000000.000000,10000000.000000,10000000.000000,0.032709,10000000.000000,0.034184,10000000.000000,0.027235,10000000.000000,0.320187,10000000.000000,0.027419,10000000.000000
66,180,1305,0.122874,0.0258025,6,5,0,0.074025,10000000.000000,0.026783,10000000.000000,0.041108,10000000.000000,0.025802,10000000.000000,0.026183,10000000.000000,0.032709,10000000.000000,0.034184,10000000.000000,0.027235,10000000.000000,0.320187,10000000.000000,0.027419,10000000.000000
68,190,1311,0.122874,0.0258025,6,5,0,0.033155,10000000.000000,0.026783,10000000.000000,0.041108,10000000.000000,0.025802,10000000.000000,0.026183,10000000.000000,0.032709,10000000.000000,0.034184,10000000.000000,0.027235,10000000.000000,0.320187,10000000.000000,0.027419,10000000.000000
