stock,model,n,mse,mae,r2,qlike,r2_offset22
SH600000,naive,417,0.19066672660871445,0.2823301938116474,-0.12437950650294227,-7.0917371618852485,-0.1114715753609632
SH600009,naive,417,0.18700432666137728,0.2745694496196707,-0.06529441962283866,-5.6488529753613586,-0.0528865682702393
SH600010,naive,417,0.21675538411839543,0.31900565746141907,-0.06335936478245996,-6.388406058624677,-0.05012902257666374
SH600015,naive,417,0.18039714206524823,0.283918728180738,0.08533234761342068,-8.092974171428308,0.09612978129801064
SH600016,naive,417,0.18093455835558409,0.27270199477614837,-0.03184946242945785,-7.999059472265546,-0.020953708289584316
SH600018,naive,414,0.20344144398748268,0.3259344483593658,0.3370835302431304,-6.8520144733449015,0.3658337372743643
SH600028,naive,417,0.18731046293084266,0.2816019799103017,-0.09303584719185642,-8.091396878472223,-0.1287964478486292
SH600029,naive,417,0.22655653563458766,0.3348271615096785,-0.14559621847127113,-6.467962866743569,-0.14219707416426153
SH600030,naive,410,0.23132875160452257,0.3212410099251953,0.09759156069549291,-6.143959573011748,0.10300568419725364
SH600031,naive,417,0.19968507567337523,0.25469202266628854,-0.1934463028468063,-4.473059040610871,-0.21607066387355767
SH600036,naive,417,0.1844365184893513,0.2628740210963452,-0.2357987829246635,-6.507377715776648,-0.22699602524856677
SH600038,naive,417,0.1869031924956078,0.26941611311890307,0.17623385957002335,-6.048666626804271,0.1833635980267201
SH600048,naive,417,0.1859837710041083,0.2677663726167731,-0.23443716135772807,-5.836504983950002,-0.23262495267768957
SH600066,naive,417,0.22328604566144708,0.2901306709661521,0.0569571501921744,-1.4909750659899346,0.05967929927893534
SH600068,naive,417,0.229097475987428,0.3083427222900393,0.059291726311074155,-5.997151154713711,0.06723281436366757
SH600085,naive,417,0.25104108244940937,0.3311163127493725,-0.1028136612260282,-5.76046585271885,-0.07980093425653512
SH600089,naive,417,0.1659702778974981,0.27627030023678695,0.5854922980644701,-6.840368210457026,0.5981857439603431
SH600104,naive,417,0.18491532363672628,0.28202157354406804,0.015468868591643536,-5.807336834977803,0.034451638356240766
SH600109,naive,412,0.21478982602309304,0.31441971419171094,0.2688029667210494,-5.907614320320682,0.2794882348062103
SH600111,naive,414,0.23380475503486298,0.31304187831436775,0.07522263398659557,-4.809697897365226,0.06878939275693463
SH600115,naive,416,0.24219418792630643,0.3390446640065982,-0.04174187613608571,-5.916924901955297,-0.04456305583113984
SH600118,naive,417,0.2070611937012547,0.27637195867073977,0.30755649636761684,-4.10986510929226,0.30539093173115384
SH600170,naive,417,0.16802556471472405,0.2814837263045755,0.2639460042040507,-7.49305605966231,0.27471247255104614
SH600177,naive,417,0.2412592252401109,0.3397997271970525,-0.06708294210563204,-6.5495471508745915,-0.062029915407032066
SH600188,naive,417,0.21693331181778489,0.3055179100654467,-0.25815812914263025,-6.1965254816102915,-0.24699719465559977
SH600196,naive,417,0.2268547044050989,0.306793339236134,0.15399434566079973,-4.6565346401420635,0.161204704203178
SH600208,naive,416,0.5149518843024978,0.37164015492639035,-0.360806694990393,131.85564590755334,-0.3946975184091561
SH600276,naive,417,0.18899162008326884,0.2673830724499026,-0.40301208864891325,-4.623403283829067,-0.4368383505061213
SH600332,naive,417,0.23226369628419413,0.2788670063872566,-0.1609044227396681,-2.5008657735778774,-0.15525771343409733
SH600340,naive,417,0.15874588511509125,0.24989617807651027,0.16562758039997105,-6.594609050542903,0.16912007791055483
SH600352,naive,413,0.19620427458834375,0.2900656030866888,0.2512592588675031,-5.9610897396181874,0.26087414763886374
SH600362,naive,417,0.23263496284171187,0.3182188117936916,-0.0414592079924021,-6.1166618449757015,-0.051550422112867755
SH600369,naive,417,0.2483507209842128,0.33664446253390407,0.15385508240154167,-5.45724040073452,0.17556960276236144
SH600372,naive,417,0.216218924107975,0.3075868453381082,0.07558375348557933,-5.853849632248144,0.0854562482537945
SH600383,naive,417,0.19169028917501457,0.26539257785667003,-0.1840414715692149,-5.231216469822813,-0.16913550404678102
SH600489,naive,416,0.225323650726899,0.3224982388916275,-0.3045718079335369,-6.192671464687505,-0.28894973588539785
SH600519,naive,417,0.18025821039450848,0.25983528756185903,-0.14851922222495828,-6.300179584035896,-0.15029264212323667
SH600547,naive,417,0.2039759392334349,0.29384745163695764,-0.18812319450644965,-5.9126200037442365,-0.18159134518163378
SH600570,naive,416,0.2133655633531826,0.2919899429681314,-0.157633678699306,-3.659637344445196,-0.14369797552196495
SH600583,naive,417,0.18804775414440283,0.25416564427071503,-0.2056652799714518,-5.651808193467347,-0.2098922603125588
SH600585,naive,417,0.19767966535598935,0.258475518359807,-0.2627296042080651,-5.696405383449282,-0.26227768749346625
SH600588,naive,417,0.1968199245481227,0.27158600926253207,0.03268140877615422,-3.864341764212065,0.040799668369910225
SH600637,naive,417,0.2201730355735163,0.2929568197470814,-0.048522452720819675,-2.872285441869261,-0.047445966286981056
SH600660,naive,417,0.22310233663805276,0.2982753498820034,0.04255395301567921,-5.356330575145527,0.052882836120554666
SH600674,naive,417,0.17800349783957978,0.28569833030906866,-0.524231757864484,-7.056168435051419,-0.49552563165750296
SH600703,naive,415,0.2075589326319762,0.29276364217538015,-0.30922090435815774,-2.9027869986838364,-0.2841254187935498
SH600705,naive,417,0.2032705823765352,0.30009740491869563,0.264633009605865,-6.281705795638543,0.27916668891682295
SH600741,naive,417,0.19083282273741295,0.26501438711456515,-0.2496158223689655,-4.588893015609182,-0.2639889736547931
SH600837,naive,417,0.2178323397798177,0.31204410534806204,0.1325231016839784,-5.95548542407508,0.15838824014336939
SH600886,naive,417,0.17398333822781942,0.26783986916593994,-0.38532977128920365,-6.566436424683359,-0.3889768473723616
SH600887,naive,417,0.17080521815868607,0.2460366838707841,-0.14122867310778608,-5.733223753392594,-0.13225923085685287
SH600893,naive,406,0.22786523198465722,0.29859760136126157,0.26885132932905975,-5.7828164717723425,0.27282591730972217
SH600999,naive,411,0.1900369489216348,0.29237207486127453,0.11980961279970981,-6.548995388799428,0.14228810728108265
SH601006,naive,417,0.17549784408770958,0.2603697700652216,-0.34311300001243406,-7.762227309992743,-0.40676345457707286
SH601009,naive,417,0.2149665433302148,0.30753655031825555,-0.03879013542170684,-6.5669223806395465,-0.04252859560893496
SH601111,naive,416,0.23515129419578656,0.3233876309815083,-0.2965760988258863,-5.778209185801068,-0.2931094055641792
SH601166,naive,417,0.18916134525211376,0.2844763091934851,-0.1731000333919146,-6.841386419265655,-0.18179886153099312
SH601169,naive,417,0.1709987987721075,0.27871177343531606,-0.04419742453800768,-7.963688349347435,-0.033733886516983835
SH601186,naive,417,0.19975708791290134,0.3043744428914188,0.03923161745964976,-6.533225017156468,0.06612319467122685
SH601225,naive,417,0.21410193876465985,0.2942793285618182,-0.25751754338470856,-4.966691142913239,-0.24850825921791042
SH601288,naive,417,0.16571010764180086,0.27108636233556527,-0.1175620483856028,-8.366792176623534,-0.12710922373342992
SH601318,naive,417,0.16362063545831007,0.24396698962465813,0.08977061866415603,-6.7350703296914025,0.08803333295264593
SH601328,naive,417,0.16574082958551578,0.2826022743163332,0.22357674701812524,-8.34460631971621,0.2289164806354248
SH601336,naive,417,0.22186036650732854,0.2967461853354405,0.08145860912731029,-5.560880164457997,0.13374771917172235
SH601377,naive,417,0.24923549376459767,0.33048962197297554,0.1398414089762281,-5.720157896503124,0.14248218625785714
SH601398,naive,417,0.16710404709958127,0.27065077445142066,-0.058564699457459124,-8.127103366358472,-0.07285812977682449
SH601555,naive,411,0.22236060339388286,0.31996308892487235,0.23979825709203095,-5.650998254753144,0.24556373446352542
SH601601,naive,417,0.19208793760564577,0.270992735240494,-0.25630947864434916,-5.7033344762672264,-0.24811363641636497
SH601607,naive,417,0.2410886347359584,0.3274794943237105,0.08205336206526848,-4.684177270160941,0.08840840837878672
SH601628,naive,417,0.19529505643013909,0.2521181676056343,0.13257710343531637,-3.479584015246038,0.1382332182159156
SH601633,naive,416,0.21190056771971477,0.3080632931594965,0.22331750848530874,-5.151377492937057,0.22731331884063544
SH601668,naive,417,0.191364196335507,0.2894216403505245,-0.2560115602979087,-6.984169373721928,-0.23941565358858408
SH601669,naive,417,0.23458161869264535,0.3165832373885576,0.03122155789051484,-6.564409003994422,0.04436599102481209
SH601688,naive,417,0.20921797802298292,0.29189458976277927,0.0779107238088107,-5.947428013060594,0.08968858211329511
SH601766,naive,417,0.18541205985425602,0.28231836977449953,0.03081071476080488,-6.948583894539655,0.061220692677282584
SH601800,naive,417,0.25305229958744163,0.3341919692590384,-0.023259730001441214,-5.986401410740114,-0.01924237180344801
SH601818,naive,417,0.19347408983682973,0.29255911843429083,0.028886706183615107,-7.009885093188306,0.04048780659405726
SH601857,naive,417,0.17795514740792479,0.28296365102119275,-0.1940336111303873,-8.213359921651431,-0.17922298949587612
SH601888,naive,417,0.18489456412022465,0.26812267137783946,0.2982567019056367,-4.62435837513922,0.30677317014349437
SH601899,naive,413,0.2491156424168138,0.3109358545741592,-0.013682497549269756,-4.34855954341763,-0.0847312012159891
SH601901,naive,415,0.2658831328545454,0.3372858980719181,0.07111411617267349,-5.232743907676548,0.0873872562552952
SH601933,naive,417,0.2317991120262418,0.3028558126640844,-0.2454944268589474,-4.896706695901068,-0.25910848834455646
SH601939,naive,417,0.1819513336533258,0.28303587031235794,0.03447362078518856,-7.7997030800946066,0.019906608376722312
SH601988,naive,417,0.16682225568154324,0.2813126132462307,0.022455653947858423,-8.489325928342359,0.03389374687395441
SH601998,naive,417,0.19458586937541997,0.30283341706401223,0.14704359145323442,-7.541047400412934,0.1546605466103801
SH603993,naive,417,0.22796346159211126,0.3127517235510583,-0.04031633829063508,-5.235645910967689,-0.035909149676101926
SZ000001,naive,417,0.0742634145923657,0.20831724831622428,0.02263704930081445,-7.227795950701731,0.04362696844730485
SZ000069,naive,417,0.08345259059154811,0.22634786560481618,0.08075783869933006,-7.295147826370352,0.1313048040915531
SZ000157,naive,417,0.07824046411693249,0.21788876753067254,-0.020248508247915575,-7.129199708257238,-0.18892880101720166
SZ000166,naive,417,0.11387301380720669,0.2666506131429427,0.39355375183317454,-7.358089513180349,0.4118796366409272
SZ000333,naive,406,0.07326000585209354,0.20581149376553765,-0.0010633137806941306,-7.306985455684731,-0.01025267815603259
SZ000338,naive,417,0.07734905325973448,0.21679418748432291,0.10245954933432389,-6.935012538064911,0.09798224242498788
SZ000425,naive,417,0.09202641514422713,0.23516496599749093,0.16093014329234934,-6.969651785036282,0.026909815020406236
SZ000568,naive,417,0.0863226510391332,0.23492548994851564,0.1908969947180439,-6.685979977860839,0.23562984698137612
SZ000625,naive,417,0.0986590434244445,0.24503650030701074,-0.3498717698963554,-6.281415101705115,-0.2553106228627102
SZ000709,naive,417,0.12545530306740957,0.2721208282836864,0.16003755620668825,-7.965350278798613,0.1694953499178048
SZ000725,naive,417,0.11421688197202697,0.25964550419807686,0.1407653351988003,-6.621028379680264,0.12519053546579295
SZ000728,naive,417,0.1218265188976619,0.2651650914418147,0.4444500900813473,-6.8713952703961105,0.4645567983091884
SZ000768,naive,417,0.08289397198454701,0.2260770847992492,0.4936778028870109,-7.035946807973006,0.4956950203400853
SZ000776,naive,417,0.10429218208698057,0.2590825823365493,0.36302430252931783,-7.309798382034008,0.3831209845366518
SZ000783,naive,417,0.11552751033226162,0.260348929733832,0.45418261187197784,-6.942011146153085,0.4735629606602515
SZ000858,naive,417,0.09707418367371975,0.24540270199188444,0.19342469344907787,-6.866185235831035,0.21375502679693692
SZ000895,naive,402,0.08968237228143237,0.24138187483400766,0.2166109656494929,-6.6911850991243265,0.2543535790706586
SZ000963,naive,417,0.12353158194229315,0.2836393793192882,-0.1306699016111832,-6.764333088397694,-0.13704586909572813
SZ002007,naive,417,0.09503014437892834,0.2475774584607867,0.2649299067250772,-6.424010841295204,0.27600416472473255
SZ002008,naive,417,0.07557799093660877,0.22467794686966333,-0.31395973845757363,-6.461333074968393,-0.30729368118756106
SZ002024,naive,417,0.11597704285802166,0.2679230051630734,0.4559253799267421,-7.561398002526047,0.4636903222343951
SZ002142,naive,417,0.07647111198223275,0.20686523470851087,0.09159793666967508,-7.040407596464919,-0.07325299111797312
SZ002146,naive,417,0.07372553289818341,0.21102404722567977,0.23476310869949202,-7.262260776473107,0.26696608579848835
SZ002153,naive,417,0.09954647031903967,0.24703032768613864,-0.2699447245928095,-6.318692229708204,-0.2777631812851078
SZ002202,naive,411,0.08228359737849211,0.22805653073046042,0.012367105396362543,-6.860303676294099,0.009588498368424792
