model,n_stocks,mse_median,mse_mean,mae_median,mae_mean,r2_median,r2_mean,qlike_median,qlike_mean,mse_winrate_vs_har_pooled,mse_wilcoxon_p,mae_winrate_vs_har_pooled,mae_wilcoxon_p,r2_winrate_vs_har_pooled,r2_wilcoxon_p,qlike_winrate_vs_har_pooled,qlike_wilcoxon_p
har_x,120,0.14213089994566946,0.136984718303914,0.2558776948563579,0.25375491790567056,0.25275321289477376,0.23640921645031465,-7.049100657142608,-7.196333911452639,0.5583333333333333,0.12486803156827248,0.475,0.6187764875102859,0.5583333333333333,0.18686505968855927,0.725,1.2400158931253718e-07
har_pooled,120,0.14474447403142138,0.13677331179661129,0.25933284970865444,0.25209181737426084,0.2473286571925103,0.23962727733089934,-7.020665118414798,-7.132198355923658,,,,,,,,
har,120,0.14315668257408148,0.13839940903399098,0.25547052145496896,0.2542020357360678,0.24313682381116186,0.23116324601031335,-7.020812164611218,-7.15717507830916,0.45,0.2313754819289089,0.48333333333333334,0.20496489879172441,0.45,0.273653661555719,0.5583333333333333,0.7732888689219024
egarch,120,0.15880161273800575,0.15124790471955807,0.2766476369303814,0.2725553977567012,0.1707934335720392,0.1506543758601141,-7.186338526402637,-7.279821384049051,0.25833333333333336,9.228225120756274e-11,0.24166666666666667,1.7127218952274668e-13,0.25833333333333336,2.21675642359345e-10,0.825,2.1850569645899346e-14
garch,120,0.15573230742353522,0.15312716728861434,0.27308542484811066,0.2752567140393541,0.16623529932040898,0.13530863049507194,-7.170059065960361,-7.277658014604794,0.225,7.335522516916177e-12,0.18333333333333332,3.069848071337787e-15,0.225,3.994263602852179e-12,0.8166666666666667,3.277413162611079e-14
ewma,120,0.15712107936498895,0.15235993517317548,0.2752626207366198,0.2759909966653418,0.16157352232353533,0.14669305268839838,-7.180268849091739,-7.276850922553502,0.23333333333333334,5.569653687850311e-12,0.16666666666666666,4.221760814769515e-17,0.23333333333333334,5.27021961102874e-12,0.7916666666666666,4.709666702276061e-14
naive,120,0.18851968711383582,0.17703257677395115,0.2813981697754031,0.27812444547181897,0.029848710472209994,0.014008397303937364,-6.406208449959941,-4.978111708368362,0.0,1.971951712152436e-21,0.016666666666666666,2.1265290935995473e-21,0.0,1.971951712152436e-21,0.016666666666666666,2.7335681977982185e-21
