Inserted Genomes, Total BP Epochs, Time, Best Val. MAE, Best Val. MSE, Enabled Nodes, Enabled Edges, Enabled Rec. Edges,Island_0_best_fitness,Island_0_worst_fitness,Island_1_best_fitness,Island_1_worst_fitness,Island_2_best_fitness,Island_2_worst_fitness,Island_3_best_fitness,Island_3_worst_fitness,Island_4_best_fitness,Island_4_worst_fitness,Island_5_best_fitness,Island_5_worst_fitness,Island_6_best_fitness,Island_6_worst_fitness,Island_7_best_fitness,Island_7_worst_fitness,Island_8_best_fitness,Island_8_worst_fitness,Island_9_best_fitness,Island_9_worst_fitness
32,10,971,0.186164,0.054325,6,4,0,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.054325,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
34,20,1073,0.143302,0.0345431,6,4,0,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.054325,10000000.000000,0.034543,10000000.000000,10000000.000000,10000000.000000
36,30,1073,0.143302,0.0345431,6,4,0,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.054325,10000000.000000,0.034543,10000000.000000,10000000.000000,10000000.000000
38,40,1107,0.143302,0.0345431,6,4,0,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.085944,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.054325,10000000.000000,0.034543,10000000.000000,10000000.000000,10000000.000000
40,50,1138,0.124176,0.026639,6,5,0,10000000.000000,10000000.000000,0.026639,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.085944,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.054325,10000000.000000,0.034543,10000000.000000,10000000.000000,10000000.000000
42,60,1141,0.124176,0.026639,6,5,0,10000000.000000,10000000.000000,0.026639,10000000.000000,0.031920,10000000.000000,10000000.000000,10000000.000000,0.085944,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.054325,10000000.000000,0.034543,10000000.000000,10000000.000000,10000000.000000
44,70,1151,0.124176,0.026639,6,5,0,0.063987,10000000.000000,0.026639,10000000.000000,0.031920,10000000.000000,10000000.000000,10000000.000000,0.085944,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.054325,10000000.000000,0.034543,10000000.000000,10000000.000000,10000000.000000
46,80,1153,0.124176,0.026639,6,5,0,0.063987,10000000.000000,0.026639,10000000.000000,0.031920,10000000.000000,10000000.000000,10000000.000000,0.085944,10000000.000000,0.139211,10000000.000000,10000000.000000,10000000.000000,0.054325,10000000.000000,0.034543,10000000.000000,10000000.000000,10000000.000000
48,90,1182,0.124176,0.026639,6,5,0,0.063987,10000000.000000,0.026639,0.026644,0.031920,10000000.000000,10000000.000000,10000000.000000,0.085944,10000000.000000,0.139211,10000000.000000,10000000.000000,10000000.000000,0.054325,10000000.000000,0.034543,10000000.000000,10000000.000000,10000000.000000
50,100,1193,0.124176,0.026639,6,5,0,0.063987,10000000.000000,0.026639,0.026644,0.031920,10000000.000000,0.042722,10000000.000000,0.085944,10000000.000000,0.139211,10000000.000000,10000000.000000,10000000.000000,0.054325,10000000.000000,0.034543,10000000.000000,10000000.000000,10000000.000000
52,110,1195,0.124176,0.026639,6,5,0,0.063987,10000000.000000,0.026639,0.026644,0.031920,10000000.000000,0.042722,10000000.000000,0.085944,10000000.000000,0.139211,10000000.000000,10000000.000000,10000000.000000,0.054325,10000000.000000,0.034543,10000000.000000,10000000.000000,10000000.000000
54,120,1199,0.124176,0.026639,6,5,0,0.063937,10000000.000000,0.026639,10000000.000000,0.031920,10000000.000000,0.042722,10000000.000000,0.085944,10000000.000000,0.139211,10000000.000000,10000000.000000,10000000.000000,0.054325,10000000.000000,0.034543,10000000.000000,10000000.000000,10000000.000000
56,130,1248,0.124326,0.026342,6,5,0,0.026342,10000000.000000,0.026639,10000000.000000,0.031920,10000000.000000,0.042722,10000000.000000,0.085944,10000000.000000,0.139211,10000000.000000,10000000.000000,10000000.000000,0.054325,10000000.000000,0.034543,10000000.000000,10000000.000000,10000000.000000
58,140,1260,0.124326,0.026342,6,5,0,0.026342,10000000.000000,0.026639,10000000.000000,0.031920,10000000.000000,0.042722,10000000.000000,0.034822,10000000.000000,0.139211,10000000.000000,10000000.000000,10000000.000000,0.054325,10000000.000000,0.034543,10000000.000000,10000000.000000,10000000.000000
60,150,1266,0.124326,0.026342,6,5,0,0.026342,10000000.000000,0.026639,10000000.000000,0.031920,10000000.000000,0.042722,10000000.000000,0.034822,10000000.000000,0.038473,0.139211,10000000.000000,10000000.000000,0.054325,10000000.000000,0.034543,10000000.000000,10000000.000000,10000000.000000
62,160,1271,0.124326,0.026342,6,5,0,0.026342,10000000.000000,0.026639,10000000.000000,0.031920,10000000.000000,0.042722,10000000.000000,0.034822,10000000.000000,0.038473,10000000.000000,10000000.000000,10000000.000000,0.054325,10000000.000000,0.034543,10000000.000000,10000000.000000,10000000.000000
64,170,1277,0.124326,0.026342,6,5,0,0.026342,10000000.000000,0.026639,10000000.000000,0.031920,10000000.000000,0.042722,10000000.000000,0.034822,10000000.000000,0.038473,10000000.000000,10000000.000000,10000000.000000,0.028867,10000000.000000,0.034543,10000000.000000,10000000.000000,10000000.000000
66,180,1277,0.124326,0.026342,6,5,0,0.026342,10000000.000000,0.026639,10000000.000000,0.031920,10000000.000000,0.042722,10000000.000000,0.034822,10000000.000000,0.038473,10000000.000000,10000000.000000,10000000.000000,0.028867,10000000.000000,0.034543,10000000.000000,10000000.000000,10000000.000000
68,190,1280,0.124326,0.026342,6,5,0,0.026342,10000000.000000,0.026639,10000000.000000,0.031920,10000000.000000,0.042722,10000000.000000,0.034822,10000000.000000,0.038473,10000000.000000,10000000.000000,10000000.000000,0.028867,10000000.000000,0.027269,10000000.000000,10000000.000000,10000000.000000
70,200,1286,0.124326,0.026342,6,5,0,0.026342,10000000.000000,0.026639,10000000.000000,0.031920,10000000.000000,0.042722,10000000.000000,0.034822,10000000.000000,0.038473,10000000.000000,10000000.000000,10000000.000000,0.028867,10000000.000000,0.027269,10000000.000000,10000000.000000,10000000.000000
72,210,1294,0.124326,0.026342,6,5,0,0.026342,10000000.000000,0.026639,10000000.000000,0.028508,10000000.000000,0.042722,10000000.000000,0.034822,10000000.000000,0.038473,10000000.000000,10000000.000000,10000000.000000,0.028867,10000000.000000,0.027269,10000000.000000,10000000.000000,10000000.000000
