model,n_stocks,mse_median,mse_mean,mae_median,mae_mean,r2_median,r2_mean,qlike_median,qlike_mean,mse_winrate_vs_har_pooled,mse_wilcoxon_p,mae_winrate_vs_har_pooled,mae_wilcoxon_p,r2_winrate_vs_har_pooled,r2_wilcoxon_p,qlike_winrate_vs_har_pooled,qlike_wilcoxon_p
har_x,120,0.14203804817419344,0.13690579030168773,0.25565516561522583,0.253673850807569,0.25207604620207347,0.23687969559705652,-7.050100480943566,-7.19629454770268,0.5666666666666667,0.10112747242644245,0.49166666666666664,0.6580631310059208,0.5666666666666667,0.15577455027261175,0.7333333333333333,1.089855293154107e-07
har_pooled,120,0.14469883354579183,0.136778212324046,0.2592270846960223,0.25207417291273715,0.24754036340140484,0.23958608525737274,-7.0203405370708545,-7.131579606599085,,,,,,,,
har,120,0.14316517924424887,0.1383259592776458,0.2554372633091261,0.25411499070228394,0.242708133688797,0.23157860598833355,-7.022456186442592,-7.156796424510157,0.45,0.2948470721235238,0.475,0.23239805778925215,0.45,0.32606245127327327,0.55,0.7158409801796742
egarch,120,0.1592904709915982,0.15322528030214191,0.2788148633276756,0.274609483967924,0.16113703685940284,0.1362742497849449,-7.182320536268901,-7.271964479041929,0.25833333333333336,1.4638034198416582e-11,0.18333333333333332,1.5767526403247825e-14,0.25833333333333336,2.5535133845484357e-11,0.8,4.0384158997730363e-13
garch,120,0.1596724109899133,0.1541358652668278,0.27303603810014065,0.27601158052472397,0.15657272350629625,0.12836961520713355,-7.169746918263552,-7.273156950925555,0.225,2.1189118664317698e-12,0.14166666666666666,3.563604755012143e-16,0.225,1.4268262551124348e-12,0.7916666666666666,1.3793353861758255e-13
ewma,120,0.15794629772839386,0.1535865208105254,0.2768102015905042,0.2772722572920332,0.15329991637433954,0.1394859339959675,-7.179153292305866,-7.272649741176553,0.225,1.053547979235613e-12,0.15,7.591602344017536e-18,0.225,7.332765236240651e-13,0.7916666666666666,1.5832149005657804e-13
naive,120,0.18851968711383582,0.17703257677395115,0.2813981697754031,0.27812444547181897,0.029848710472209994,0.014008397303937364,-6.406208449959941,-4.978111708368362,0.0,1.971951712152436e-21,0.016666666666666666,2.1265290935995473e-21,0.0,1.971951712152436e-21,0.016666666666666666,2.8029771703470082e-21
