model,n_stocks,mse_median,mse_mean,mae_median,mae_mean,r2_median,r2_mean,qlike_median,qlike_mean,mse_winrate_vs_har_pooled,mse_wilcoxon_p,mae_winrate_vs_har_pooled,mae_wilcoxon_p,r2_winrate_vs_har_pooled,r2_wilcoxon_p,qlike_winrate_vs_har_pooled,qlike_wilcoxon_p
har_pooled,216,0.07931234823149963,0.08721519336481455,0.2276427913621011,0.2287394749216945,0.13757106244459621,0.12076994259481948,-7.0986885547783585,-7.071516371237738,,,,,,,,
har,216,0.07936743903146762,0.08733660273839315,0.2273815639995646,0.22981447074345673,0.1317787115777101,0.11901725801882689,-7.100903470345493,-7.087435065278455,0.5,0.6738727109588801,0.4675925925925926,0.16593099541002776,0.5,0.635411890054685,0.625,1.1166662500287683e-05
har_x,216,0.07995393308821624,0.08798504886546336,0.22750888901149505,0.23065022552253914,0.1248040593887178,0.11067400114010588,-7.1014078680723145,-7.089669535630272,0.44907407407407407,0.08130482866489691,0.41203703703703703,0.0006917963481862341,0.44907407407407407,0.05425849619933508,0.5787037037037037,0.006157784171885314
egarch,216,0.09461141607976517,0.1739967415122312,0.25146386445912194,0.2779638302224935,-0.016209553003301402,-0.5724146091565205,-7.053484323592777,-7.012300738894748,0.10648148148148148,4.04483937322217e-30,0.10648148148148148,9.7918449649825e-30,0.10648148148148148,1.4921908055616126e-29,0.25925925925925924,3.0371482145408857e-15
ewma,216,0.09664667903904978,0.10999029001578459,0.24979842269935676,0.2573520622572073,-0.026263966281984907,-0.11153188171407884,-7.076099751333274,-7.078197981745564,0.12037037037037036,3.1894418986625476e-30,0.11574074074074074,2.6764843707668658e-30,0.12037037037037036,2.9959167632582127e-30,0.25462962962962965,1.624515344700804e-14
garch,216,0.09584983914469092,0.1319177018602338,0.2515048139714835,0.27015696299711034,-0.04966465442253698,-0.26475578448917053,-7.078838932182544,-6.760256174732728,0.09722222222222222,2.9326374122694023e-31,0.14814814814814814,1.2547561121551385e-29,0.09722222222222222,1.1822307620122345e-30,0.2777777777777778,4.823521258117208e-12
naive,216,0.09614448508018647,0.10895747798779226,0.24629234661330834,0.25109769843418894,-0.056849130322237595,-0.10199748766244404,-7.043955826854534,-4.417529132014139,0.05092592592592592,9.932712894307962e-36,0.09722222222222222,9.420019480384768e-31,0.05092592592592592,4.368665138657591e-36,0.032407407407407406,1.1162074266279236e-36
