Inserted Genomes, Total BP Epochs, Time, Best Val. MAE, Best Val. MSE, Enabled Nodes, Enabled Edges, Enabled Rec. Edges,Island_0_best_fitness,Island_0_worst_fitness,Island_1_best_fitness,Island_1_worst_fitness,Island_2_best_fitness,Island_2_worst_fitness,Island_3_best_fitness,Island_3_worst_fitness,Island_4_best_fitness,Island_4_worst_fitness,Island_5_best_fitness,Island_5_worst_fitness,Island_6_best_fitness,Island_6_worst_fitness,Island_7_best_fitness,Island_7_worst_fitness,Island_8_best_fitness,Island_8_worst_fitness,Island_9_best_fitness,Island_9_worst_fitness
32,10,784,0.132717,0.0291265,6,3,0,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.029127,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
34,20,789,0.131545,0.0288725,6,3,0,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.028873,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.029127,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
36,30,924,0.131545,0.0288725,6,3,0,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.028873,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.029127,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
38,40,988,0.131545,0.0288725,6,3,0,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.028873,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.029127,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
40,50,993,0.131545,0.0288725,6,3,0,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.028873,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.029127,10000000.000000,10000000.000000,10000000.000000,0.783105,10000000.000000
42,60,1028,0.131545,0.0288725,6,3,0,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.028873,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.100228,10000000.000000,10000000.000000,10000000.000000,0.029127,10000000.000000,10000000.000000,10000000.000000,0.783105,10000000.000000
44,70,1029,0.131545,0.0288725,6,3,0,0.069379,10000000.000000,10000000.000000,10000000.000000,0.028873,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.100228,10000000.000000,10000000.000000,10000000.000000,0.029127,10000000.000000,10000000.000000,10000000.000000,0.783105,10000000.000000
46,80,1032,0.131545,0.0288725,6,3,0,0.068879,10000000.000000,10000000.000000,10000000.000000,0.028873,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.100228,10000000.000000,10000000.000000,10000000.000000,0.029127,10000000.000000,10000000.000000,10000000.000000,0.783105,10000000.000000
48,90,1040,0.131545,0.0288725,6,3,0,0.068879,10000000.000000,10000000.000000,10000000.000000,0.028873,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.100228,10000000.000000,10000000.000000,10000000.000000,0.029127,10000000.000000,10000000.000000,10000000.000000,0.682136,10000000.000000
50,100,1071,0.131545,0.0288725,6,3,0,0.068879,10000000.000000,10000000.000000,10000000.000000,0.028873,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.100228,10000000.000000,10000000.000000,10000000.000000,0.029127,10000000.000000,0.035510,10000000.000000,0.682136,10000000.000000
