model,n_stocks,mse_median,mse_mean,mae_median,mae_mean,r2_median,r2_mean,qlike_median,qlike_mean,mse_winrate_vs_har,mse_wilcoxon_p,mae_winrate_vs_har,mae_wilcoxon_p,r2_winrate_vs_har,r2_wilcoxon_p,qlike_winrate_vs_har,qlike_wilcoxon_p
har_x,228,0.24651670981077622,0.2121270386272023,0.31856779858881645,0.30738648283163766,0.13641408214537787,0.0925693971037721,-6.732342051703495,-6.810347881588182,0.7412280701754386,5.383350679832089e-16,0.6491228070175439,2.366124061301787e-07,0.7412280701754386,6.901087612869034e-14,0.8201754385964912,1.4847149992965867e-26
har,228,0.24744659022395987,0.21558190589134005,0.3206410824992004,0.3092232417447164,0.12825752562683018,0.07521803206257516,-6.705969304983734,-6.757948220645906,,,,,,,,
har_pooled,228,0.2504146452530346,0.21278886771274147,0.32263669785000826,0.30652685785893835,0.12011946518584499,0.11397855407233477,-6.686851941365462,-6.7523236944667655,0.41228070175438597,0.004409676593517169,0.40789473684210525,0.0032238172058474185,0.41228070175438597,0.00745586122955942,0.37719298245614036,0.017793932445243327
ewma,228,0.25916156855676786,0.22956750617412053,0.33540601741568055,0.33104771637729025,0.06210578319704174,-0.002229195020165414,-6.927773250331201,-6.986715248745134,0.33771929824561403,3.906844585611447e-09,0.2631578947368421,3.9323330308929263e-16,0.33771929824561403,1.2704708437403118e-10,0.7719298245614035,1.2357462260417293e-26
egarch,228,0.2660512677085781,0.3489099082204945,0.3406447704629556,0.3514472677023189,0.05351286668026828,-0.8584297294427603,-6.924061982698587,28286.888233368496,0.2982456140350877,1.4929133805296125e-11,0.2850877192982456,2.9599603676690057e-14,0.2982456140350877,6.251440513683879e-13,0.75,2.6294204804294173e-21
garch,228,0.2670321038221305,0.2355217808106168,0.3351301192895999,0.332147561228258,0.03567481156426122,-0.02955846929502489,-6.930563979295995,-6.985502859474421,0.31140350877192985,8.501928527196679e-12,0.2807017543859649,4.190919701854084e-14,0.31140350877192985,1.7576991698761398e-12,0.7719298245614035,1.0185727309889563e-25
naive,228,0.3326827947418812,0.27897996622984844,0.35679338167716745,0.3366146664513647,-0.15318590763160367,-0.15391827612409395,-5.35744508359063,-4.6279010003749885,0.03508771929824561,1.8172512448775457e-35,0.09210526315789473,7.484306394369771e-32,0.03508771929824561,2.0090310357689672e-35,0.07456140350877193,7.452287658003503e-35
