Inserted Genomes, Total BP Epochs, Time, Best Val. MAE, Best Val. MSE, Enabled Nodes, Enabled Edges, Enabled Rec. Edges,Island_0_best_fitness,Island_0_worst_fitness,Island_1_best_fitness,Island_1_worst_fitness,Island_2_best_fitness,Island_2_worst_fitness,Island_3_best_fitness,Island_3_worst_fitness,Island_4_best_fitness,Island_4_worst_fitness,Island_5_best_fitness,Island_5_worst_fitness,Island_6_best_fitness,Island_6_worst_fitness,Island_7_best_fitness,Island_7_worst_fitness,Island_8_best_fitness,Island_8_worst_fitness,Island_9_best_fitness,Island_9_worst_fitness
32,10,606,0.269801,0.113908,6,4,0,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.113908,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
34,20,615,0.269801,0.113908,6,4,0,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.876784,10000000.000000,0.113908,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
36,30,625,0.207315,0.0676423,5,5,0,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.876784,10000000.000000,0.067642,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
38,40,628,0.207315,0.0676423,5,5,0,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.876784,10000000.000000,0.067642,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.546458,10000000.000000
40,50,632,0.207315,0.0676423,5,5,0,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.876784,10000000.000000,0.067642,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.546458,10000000.000000
42,60,637,0.142947,0.0321576,6,4,0,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.876784,10000000.000000,0.067642,10000000.000000,0.032158,10000000.000000,10000000.000000,10000000.000000,0.546458,10000000.000000
44,70,658,0.121445,0.0233994,6,4,0,0.023399,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.876784,10000000.000000,0.067642,10000000.000000,0.032158,10000000.000000,10000000.000000,10000000.000000,0.546458,10000000.000000
46,80,660,0.121445,0.0233994,6,4,0,0.023399,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.331012,10000000.000000,0.876784,10000000.000000,0.067642,10000000.000000,0.032158,10000000.000000,10000000.000000,10000000.000000,0.546458,10000000.000000
48,90,668,0.121445,0.0233994,6,4,0,0.023399,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.331012,10000000.000000,0.876784,10000000.000000,0.067642,10000000.000000,0.032158,10000000.000000,10000000.000000,10000000.000000,0.546458,10000000.000000
50,100,670,0.121445,0.0233994,6,4,0,0.023399,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.331012,10000000.000000,0.832303,10000000.000000,0.067642,10000000.000000,0.032158,10000000.000000,10000000.000000,10000000.000000,0.546458,10000000.000000
