Inserted Genomes, Total BP Epochs, Time, Best Val. MAE, Best Val. MSE, Enabled Nodes, Enabled Edges, Enabled Rec. Edges,Island_0_best_fitness,Island_0_worst_fitness,Island_1_best_fitness,Island_1_worst_fitness,Island_2_best_fitness,Island_2_worst_fitness,Island_3_best_fitness,Island_3_worst_fitness,Island_4_best_fitness,Island_4_worst_fitness,Island_5_best_fitness,Island_5_worst_fitness,Island_6_best_fitness,Island_6_worst_fitness,Island_7_best_fitness,Island_7_worst_fitness,Island_8_best_fitness,Island_8_worst_fitness,Island_9_best_fitness,Island_9_worst_fitness
32,10,592,0.789077,0.680446,5,5,1,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.680446,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
34,20,598,0.221115,0.0772226,5,5,0,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.680446,10000000.000000,10000000.000000,10000000.000000,0.077223,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
36,30,617,0.131812,0.0278958,5,5,0,0.027896,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.680446,10000000.000000,10000000.000000,10000000.000000,0.077223,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
38,40,625,0.131812,0.0278958,5,5,0,0.027896,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.680446,10000000.000000,0.068449,10000000.000000,0.077223,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
40,50,626,0.131679,0.027783,6,4,0,0.027783,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.680446,10000000.000000,0.068449,10000000.000000,0.077223,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
42,60,635,0.131679,0.027783,6,4,0,0.027783,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.680446,10000000.000000,0.068449,10000000.000000,0.077223,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.226938,10000000.000000,10000000.000000,10000000.000000
44,70,637,0.131679,0.027783,6,4,0,0.027783,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.680446,10000000.000000,0.068449,10000000.000000,0.077223,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.226352,10000000.000000,10000000.000000,10000000.000000
46,80,645,0.131679,0.027783,6,4,0,0.027783,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.680446,10000000.000000,0.068449,10000000.000000,0.077223,10000000.000000,10000000.000000,10000000.000000,0.237507,10000000.000000,0.226352,10000000.000000,10000000.000000,10000000.000000
48,90,661,0.131679,0.027783,6,4,0,0.027783,10000000.000000,10000000.000000,10000000.000000,0.096590,10000000.000000,0.680446,10000000.000000,0.068449,10000000.000000,0.077223,10000000.000000,10000000.000000,10000000.000000,0.237507,10000000.000000,0.226352,10000000.000000,10000000.000000,10000000.000000
50,100,708,0.131679,0.027783,6,4,0,0.027783,0.033059,10000000.000000,10000000.000000,0.096590,10000000.000000,0.680446,10000000.000000,0.068449,10000000.000000,0.077223,10000000.000000,10000000.000000,10000000.000000,0.237507,10000000.000000,0.226352,10000000.000000,10000000.000000,10000000.000000
