stock,n,HAR_mse,HAR_mae,HAR_r2,HAR_ql,LSTM-32_ens_mse,LSTM-32_ens_mae,LSTM-32_ens_r2,LSTM-32_ens_ql,GRU-32_ens_mse,GRU-32_ens_mae,GRU-32_ens_r2,GRU-32_ens_ql,LSTM-4_ens_mse,LSTM-4_ens_mae,LSTM-4_ens_r2,LSTM-4_ens_ql,LSTM-32_1_mse,LSTM-32_1_mae,LSTM-32_1_r2,LSTM-32_1_ql,GRU-32_1_mse,GRU-32_1_mae,GRU-32_1_r2,GRU-32_1_ql,LSTM-4_1_mse,LSTM-4_1_mae,LSTM-4_1_r2,LSTM-4_1_ql
SH600000,395,0.1511499747540827,0.26289842373657313,0.14821343316218727,-7.984542441369911,0.15876387768139025,0.2645851974575256,0.10530624614320638,-8.046106361345227,0.15445249920773657,0.2588261555329472,0.12960247427282912,-8.05601519949881,0.14952187304325668,0.24969661261053716,0.1573883944480462,-8.072367859404316,0.16071365351853353,0.2682987120840165,0.09431853100051013,-8.038106072939808,0.1549518215129988,0.2571826495944952,0.1267886065706556,-8.063036134657015,0.14996640597901292,0.25091937444737633,0.15488328530852968,-8.062333672550677
SH600009,395,0.14314105984767875,0.24551717910335952,0.2174401433025137,-7.011808887363594,0.15158726239038436,0.2509729173129174,0.17126430068620768,-7.09027749126813,0.14905459949126496,0.25247655458757984,0.18511050468600332,-7.122015505940624,0.14269700057964754,0.24478763335542705,0.21986783915390307,-7.135544064906793,0.1519204623018945,0.25184341059160587,0.16944267888684106,-7.089057725416952,0.1501209914225271,0.25239071228680743,0.1792804827635731,-7.1328398521259295,0.14411403953250818,0.24564705847003307,0.21212081114485093,-7.130377630049905
SH600010,395,0.1736128193009908,0.29234718062933757,0.1881818223947963,-7.243754845877388,0.1897704352616606,0.30708687024140413,0.11262837883890997,-7.263549449782975,0.18819498030756746,0.30542919694347626,0.11999524826065244,-7.272960243325686,0.18512420310947933,0.30079612118731736,0.13435428441259456,-7.273475338131587,0.19114016970331077,0.31005035981444157,0.10622346402501182,-7.2601279446592555,0.19197794494863485,0.3048474237410261,0.10230600461366135,-7.270392113483875,0.18869091703192256,0.3008574322557902,0.11767623489865264,-7.261802790013142
SH600015,395,0.15461812399733474,0.27626197216498855,0.25416217413355635,-8.625844001121866,0.1756613716347374,0.2933218220337026,0.15265499204331112,-8.639922815952868,0.17318782626307422,0.2901535059888169,0.16458673493662868,-8.65341565065983,0.1981488653543713,0.32549360244377257,0.044181140521699414,-8.648148674026753,0.17758100110488215,0.29634383813452636,0.14339519614443852,-8.630608472497062,0.17620067170906195,0.29335911087276484,0.15005354801770154,-8.650871766860433,0.20040906898430697,0.3269431631634773,0.03327850299263635,-8.625597126318851
SH600016,395,0.15055529496522338,0.26783724449749174,0.18188996531669288,-8.690357324670247,0.16910900789352776,0.28678357705475555,0.08107000590719216,-8.741427997682303,0.1650070040500868,0.2805204259345946,0.10336009213367603,-8.7574254200893,0.1875839433712409,0.31445887410461076,-0.019321880727781515,-8.763982085869438,0.16998078432691097,0.28869336454727573,0.07633281583814833,-8.738263093358203,0.1667481111383674,0.28170805219346473,0.09389900223504699,-8.762137354442913,0.18757577791777108,0.313509424369029,-0.019277510057039482,-8.756919714902308
SH600018,392,0.16413228213234646,0.2907746932198154,0.47958670802797654,-7.182012907364427,0.1698060773480321,0.29898502764706125,0.4615968378585654,-7.329624449317239,0.16317897046041882,0.2916836004703449,0.48260936791558584,-7.3466881764932745,0.15900632719250873,0.2879789648270339,0.4958395441555471,-7.3553802277725895,0.17085901168619147,0.3010695937288719,0.4582583049506389,-7.328428231013369,0.1669886102492954,0.2941870394973518,0.47053016473873466,-7.344206254758881,0.16512301972353427,0.29631075443212274,0.476445381991367,-7.33517367406913
SH600028,395,0.14519119982812312,0.25933971403265826,0.15645578147340333,-8.69668123387471,0.15793269041366184,0.27450136284830084,0.08242918253651388,-8.720648416922469,0.15330487836527898,0.26725845475683085,0.10931623975804217,-8.738339036998699,0.16660091596403692,0.2885139180970308,0.032067786277240606,-8.73923967862292,0.15596165415797203,0.2745633870779665,0.09388067711718884,-8.723198448673859,0.15195238735647404,0.2645133686502073,0.11717405739738374,-8.740857825455453,0.1607132772593737,0.28429808097076487,0.06627429187793399,-8.740288151482897
SH600029,395,0.16890058335982752,0.2846965906006944,0.17751072001401746,-7.193559238315556,0.1719002607677868,0.28827550894301474,0.16290329556121674,-7.314493385531808,0.172908162587039,0.2899451450005568,0.1579951512249287,-7.306807077528108,0.17171874954345354,0.287864515945619,0.16378719443972578,-7.307760145605197,0.17277103009748254,0.2918250563125848,0.15866294052650676,-7.3121736196806895,0.173819916229806,0.2889600542991687,0.1535552163102788,-7.313405420745251,0.173591046000506,0.289523996666565,0.15466973768351844,-7.3039685144952236
SH600030,388,0.19306259260992178,0.3029617357280827,0.2785441120739697,-6.994960515895148,0.199277014218157,0.3078138859864545,0.25532143077301617,-7.1200944799428045,0.20049179457550456,0.3070877583572742,0.2507819162585909,-7.120257564102683,0.19820532412591665,0.3056174991622747,0.25932623106408537,-7.11955322651922,0.20058417988517105,0.3095161322773691,0.2504366814582305,-7.11279148693752,0.20255139225654528,0.3091812120732333,0.24308540263749878,-7.1208775388694585,0.20318649111530682,0.31085432018556325,0.24071210077267624,-7.111525195729346
SH600031,395,0.15033579440713568,0.22818618147340697,0.11116915766738256,-6.5960865589958955,0.15286915571111334,0.23288152387409006,0.09619115678191648,-6.760735155736855,0.1528440665810023,0.2318829533281728,0.09633949133349773,-6.787148943849777,0.1492615882744478,0.23350683248508067,0.11752019033742045,-6.787698929015009,0.15378561299883664,0.23402382611982853,0.09077278315891246,-6.744460895345417,0.15019103856638807,0.226121587040611,0.1120249981302055,-6.821649830715133,0.15351776681233087,0.23990542779308158,0.09235637110286399,-6.784758379764905
