Inserted Genomes, Total BP Epochs, Time, Best Val. MAE, Best Val. MSE, Enabled Nodes, Enabled Edges, Enabled Rec. Edges,Island_0_best_fitness,Island_0_worst_fitness,Island_1_best_fitness,Island_1_worst_fitness,Island_2_best_fitness,Island_2_worst_fitness,Island_3_best_fitness,Island_3_worst_fitness,Island_4_best_fitness,Island_4_worst_fitness,Island_5_best_fitness,Island_5_worst_fitness,Island_6_best_fitness,Island_6_worst_fitness,Island_7_best_fitness,Island_7_worst_fitness,Island_8_best_fitness,Island_8_worst_fitness,Island_9_best_fitness,Island_9_worst_fitness
32,10,954,0.254511,0.0994507,5,5,0,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.099451,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
34,20,1009,0.202601,0.0659194,6,4,0,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.099451,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.065919,10000000.000000
36,30,1062,0.136146,0.0307529,6,4,0,10000000.000000,10000000.000000,0.030753,10000000.000000,0.099451,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.065919,10000000.000000
38,40,1092,0.136146,0.0307529,6,4,0,10000000.000000,10000000.000000,0.030753,10000000.000000,0.099451,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.168445,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.065919,10000000.000000
40,50,1117,0.130183,0.0286592,6,4,0,10000000.000000,10000000.000000,0.030753,10000000.000000,0.099451,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.168445,10000000.000000,0.028659,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.065919,10000000.000000
42,60,1121,0.130183,0.0286592,6,4,0,10000000.000000,10000000.000000,0.030753,10000000.000000,0.099451,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.168445,10000000.000000,0.028659,10000000.000000,0.203312,10000000.000000,10000000.000000,10000000.000000,0.065919,10000000.000000
44,70,1180,0.12761,0.027686,6,5,0,10000000.000000,10000000.000000,0.030753,10000000.000000,0.099451,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.168445,10000000.000000,0.028659,10000000.000000,0.027686,0.203312,10000000.000000,10000000.000000,0.065919,10000000.000000
46,80,1182,0.127629,0.0275189,6,5,0,10000000.000000,10000000.000000,0.030753,10000000.000000,0.099451,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.168445,10000000.000000,0.028659,10000000.000000,0.027519,0.203312,10000000.000000,10000000.000000,0.065919,10000000.000000
48,90,1190,0.127629,0.0275189,6,5,0,10000000.000000,10000000.000000,0.030753,10000000.000000,0.030109,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.168445,10000000.000000,0.028659,10000000.000000,0.027519,0.203312,10000000.000000,10000000.000000,0.065919,10000000.000000
50,100,1231,0.127629,0.0275189,6,5,0,10000000.000000,10000000.000000,0.030753,10000000.000000,0.030109,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.168445,10000000.000000,0.028659,10000000.000000,0.027519,0.203312,10000000.000000,10000000.000000,0.029944,10000000.000000
