split,stocks,train_end,val,test_start,pooled_train_rows,boundary_rows_trimmed
cohort_2016,111,2014-12-31,2015,2016-01-01,145344,1180
cohort_2017,116,2015-12-31,2016,2017-01-01,171746,1200
cohort_2018,120,2016-12-31,2017,2018-01-01,199495,1200
cohort_2019,120,2017-12-31,2018,2019-01-01,228524,1200
cohort_2020,120,2018-12-31,2019,2020-01-01,257608,1200
