model,n_stocks,mse_median,mse_mean,mae_median,mae_mean,r2_median,r2_mean,qlike_median,qlike_mean,mse_winrate_vs_har_pooled,mse_wilcoxon_p,mae_winrate_vs_har_pooled,mae_wilcoxon_p,r2_winrate_vs_har_pooled,r2_wilcoxon_p,qlike_winrate_vs_har_pooled,qlike_wilcoxon_p
har_pooled,20,0.14594299157514745,0.1463875621181438,0.25805426416892324,0.255052043469538,0.21639751660279088,0.20291022065737802,-7.312127291242033,-7.52056529136276,,,,,,,,
har_x,20,0.14036847364298777,0.14485159855408591,0.25081597996195143,0.2553634978402359,0.215476519173806,0.21170153291823768,-7.386091374898323,-7.5969961961014345,0.7,0.09730720520019531,0.65,0.26109886169433594,0.7,0.05316925048828125,0.85,0.0001678466796875
har,20,0.1413046378946024,0.1464597641553647,0.2525966799509358,0.25651428490567063,0.2055719776966184,0.20483958089349005,-7.3341070606052865,-7.5563362252143325,0.6,0.6476554870605469,0.65,0.8408222198486328,0.6,0.34881019592285156,0.75,0.026641845703125
egarch,20,0.17064870849461866,0.16445368272722827,0.28070712703289313,0.2812767673141031,0.12244126719356141,0.10076685647271351,-7.545908293921087,-7.703887294313008,0.2,0.001689910888671875,0.15,0.000209808349609375,0.2,0.0004825592041015625,0.95,3.814697265625e-06
ewma,20,0.17410876401141567,0.17024471152203158,0.2885605425774189,0.2903213767441361,0.08519321202290808,0.0713517224573033,-7.5357364707904075,-7.688573560530237,0.2,0.001209259033203125,0.25,0.0007076263427734375,0.2,0.0004825592041015625,0.95,3.62396240234375e-05
garch,20,0.17225347051395462,0.17432789103574506,0.29042515487066134,0.29330977586662926,0.0604186192439064,0.04818358582487704,-7.511769028147716,-7.693643813941793,0.15,0.0007076263427734375,0.1,0.000133514404296875,0.15,0.0005855560302734375,0.95,3.814697265625e-06
naive,20,0.1913773321071801,0.1923507929071529,0.2824662340639903,0.28210629821125527,-0.05337681380762038,-0.04940432231644294,-6.1565936632929965,-6.294400213926137,0.0,1.9073486328125e-06,0.0,1.9073486328125e-06,0.0,1.9073486328125e-06,0.0,1.9073486328125e-06
