model,n_stocks,mse_median,mse_mean,mae_median,mae_mean,r2_median,r2_mean,qlike_median,qlike_mean,mse_winrate_vs_har_pooled,mse_wilcoxon_p,mae_winrate_vs_har_pooled,mae_wilcoxon_p,r2_winrate_vs_har_pooled,r2_wilcoxon_p,qlike_winrate_vs_har_pooled,qlike_wilcoxon_p
har_pooled,219,0.0814129907278304,0.09194769822265869,0.23092639100871043,0.23459663998015265,0.20260386648852535,0.201605664956625,-7.555315108285837,-7.551943360614904,,,,,,,,
har,219,0.0911586502770913,0.10289407432154592,0.2422530813110257,0.2499921942949341,0.18860690514168688,0.08627273656989623,-7.551011959591321,-7.551147847670086,0.3333333333333333,2.5983405623120203e-10,0.2876712328767123,1.4013579511178335e-11,0.3333333333333333,4.44604783523749e-11,0.4520547945205479,0.04375142859422871
har_x,219,0.09152039129090006,0.10282874025322787,0.24165855447972845,0.2503284488382882,0.18222664901790409,0.08450749624618414,-7.552982291980387,-7.558788970675313,0.3561643835616438,2.950127726185781e-09,0.2922374429223744,5.754754617204382e-12,0.3561643835616438,2.4419077081645785e-10,0.4977168949771689,0.35406009545904893
naive,219,0.09830781164670341,0.11330968343178607,0.24798553657402375,0.2525131760617925,0.0830968979936556,0.010589014306524758,-7.477706566876451,-6.150676197008363,0.0684931506849315,7.61894449068193e-35,0.2009132420091324,1.0045106545231168e-26,0.0684931506849315,4.201257246424391e-35,0.0182648401826484,1.3959076225302457e-37
egarch,219,0.1060843773671588,0.2654578923127733,0.2624223649031584,0.30614220815038795,0.04926578401116222,-1.2380711670964113,-7.5010707435719475,-7.511835896710898,0.1735159817351598,8.671019228568027e-24,0.1780821917808219,4.245264878703658e-25,0.1735159817351598,1.737124193556344e-25,0.1917808219178082,5.807021779576009e-19
ewma,219,0.10655077893501004,0.12688790638526737,0.26282283543811896,0.2777823256973138,0.00908270191609184,-0.14503311905968053,-7.509228504590857,-7.557277165600846,0.1506849315068493,1.113967885192894e-26,0.136986301369863,2.422622280434246e-28,0.1506849315068493,4.480995580744143e-28,0.1278538812785388,5.349524150355717e-22
garch,219,0.12658512344394035,0.1691987892824728,0.29144731453731226,0.32338685580133747,-0.07775716173631597,-0.6024050110924518,-7.506258944380968,-7.524388775051654,0.1004566210045662,8.169997481555283e-32,0.1004566210045662,1.1157484812888567e-32,0.1004566210045662,2.4263212542200137e-32,0.182648401826484,9.647994651773944e-22
