model,n_stocks,mse_median,mse_mean,mae_median,mae_mean,r2_median,r2_mean,qlike_median,qlike_mean,mse_winrate_vs_har_pooled,mse_wilcoxon_p,mae_winrate_vs_har_pooled,mae_wilcoxon_p,r2_winrate_vs_har_pooled,r2_wilcoxon_p,qlike_winrate_vs_har_pooled,qlike_wilcoxon_p
har_pooled,229,0.096006910105668,0.1030130039808959,0.2496248702581146,0.25564477641754085,0.4332539877842184,0.40448182051811327,-7.318648096936261,-7.346174147841172,,,,,,,,
har,229,0.10058760944416119,0.10946143530836115,0.26104035710237133,0.2653220979454078,0.39813592565262834,0.3697800773909325,-7.319702732357524,-7.340429857449323,0.3624454148471616,2.9162766095556186e-07,0.33624454148471616,3.2020885741415797e-09,0.3624454148471616,3.4526925513420424e-07,0.4890829694323144,0.07688676275437374
har_x,229,0.10015104541065505,0.10912190950824274,0.2600888911721361,0.26517216940617544,0.39768003549626507,0.37157644548950947,-7.324310803857166,-7.343303989956209,0.3799126637554585,2.3901755714719083e-06,0.34497816593886466,3.72467646495646e-09,0.3799126637554585,2.156201137622626e-06,0.4978165938864629,0.472217356158266
naive,229,0.11150926789711921,0.1225820067036758,0.2677030456456877,0.27281967150937697,0.34536984836426377,0.2848625724164934,-7.242823243216302,-7.230708133613841,0.09170305676855896,4.711075569011486e-34,0.17903930131004367,8.948142847479337e-25,0.09170305676855896,1.8356281656083448e-34,0.05240174672489083,4.84587830680832e-35
egarch,229,0.13867108484248095,1.113468152087367,0.3087175287688766,0.4171655397175925,0.20098818542352503,-5.760023948035392,-7.250129028266805,527957.5393585156,0.05240174672489083,1.6869375686887552e-37,0.056768558951965066,2.35399457056492e-37,0.05240174672489083,2.8887607251089107e-37,0.13973799126637554,3.182953058864779e-26
ewma,229,0.1397817824940545,0.15653014345626998,0.31375876985632795,0.32264058911848637,0.18602244734100282,0.1057561454680227,-7.289886765394761,-7.294071654110013,0.043668122270742356,1.073270739047762e-38,0.034934497816593885,7.255063829137073e-39,0.043668122270742356,1.2549559496874373e-38,0.14847161572052403,4.090709539165963e-27
garch,229,0.1563808087746603,0.1847444897658771,0.32691987807170647,0.3489196344445425,0.0878543965645493,-0.058925911500156226,-7.269754075627033,-7.258792975261115,0.043668122270742356,3.3678280000620144e-38,0.043668122270742356,2.565281069435178e-38,0.043668122270742356,5.505314742595384e-38,0.17467248908296942,5.769236862655286e-26
