Inserted Genomes, Total BP Epochs, Time, Best Val. MAE, Best Val. MSE, Enabled Nodes, Enabled Edges, Enabled Rec. Edges,Island_0_best_fitness,Island_0_worst_fitness,Island_1_best_fitness,Island_1_worst_fitness,Island_2_best_fitness,Island_2_worst_fitness,Island_3_best_fitness,Island_3_worst_fitness,Island_4_best_fitness,Island_4_worst_fitness,Island_5_best_fitness,Island_5_worst_fitness,Island_6_best_fitness,Island_6_worst_fitness,Island_7_best_fitness,Island_7_worst_fitness,Island_8_best_fitness,Island_8_worst_fitness,Island_9_best_fitness,Island_9_worst_fitness
32,10,568,0.886649,0.843599,5,5,0,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.843599,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
34,20,644,0.258062,0.0960743,6,4,0,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.843599,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.096074,10000000.000000
36,30,648,0.258062,0.0960743,6,4,0,10000000.000000,10000000.000000,0.548481,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.843599,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.096074,10000000.000000
38,40,648,0.258062,0.0960743,6,4,0,10000000.000000,10000000.000000,0.548481,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.843599,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.096074,10000000.000000
40,50,657,0.258062,0.0960743,6,4,0,0.104818,10000000.000000,0.548481,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.843599,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.096074,10000000.000000
42,60,676,0.129016,0.0263426,6,4,0,0.104818,10000000.000000,0.548481,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.843599,10000000.000000,0.026343,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.096074,10000000.000000
44,70,677,0.129016,0.0263426,6,4,0,0.104818,10000000.000000,0.548481,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.843599,10000000.000000,0.026343,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.096074,10000000.000000
46,80,693,0.129016,0.0263426,6,4,0,0.104818,10000000.000000,0.548481,10000000.000000,0.030661,10000000.000000,10000000.000000,10000000.000000,0.843599,10000000.000000,0.026343,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.096074,10000000.000000
48,90,697,0.129016,0.0263426,6,4,0,0.104818,10000000.000000,0.548481,10000000.000000,0.030661,10000000.000000,10000000.000000,10000000.000000,0.843599,10000000.000000,0.026343,0.028235,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.096074,10000000.000000
50,100,732,0.129016,0.0263426,6,4,0,0.104818,10000000.000000,0.548481,10000000.000000,0.030661,10000000.000000,10000000.000000,10000000.000000,0.843599,10000000.000000,0.026343,0.028235,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,0.096074,10000000.000000
