model,n_stocks,mse_median,mse_mean,mae_median,mae_mean,r2_median,r2_mean,qlike_median,qlike_mean,mse_winrate_vs_har_pooled,mse_wilcoxon_p,mae_winrate_vs_har_pooled,mae_wilcoxon_p,r2_winrate_vs_har_pooled,r2_wilcoxon_p,qlike_winrate_vs_har_pooled,qlike_wilcoxon_p
har_pooled,212,0.07237940389695516,0.08982532248247904,0.21297123278676772,0.217959336836701,0.3221983148916836,0.2865906764299204,-7.295913393968714,-7.249651757189556,,,,,,,,
har_x,212,0.07264596744302149,0.09068206560841766,0.2134417260795926,0.21958352433318376,0.31535698358474157,0.28037134466912916,-7.307163370193071,-7.3173967263626665,0.44339622641509435,0.07126305116949876,0.42924528301886794,0.026130041951559657,0.44339622641509435,0.15327660881478694,0.6037735849056604,0.007132377629324753
har,212,0.07232777548636957,0.0906792800254002,0.21321078673441313,0.21964245860788859,0.3123937394168202,0.28059489948998373,-7.303478599266581,-7.30612504490988,0.4528301886792453,0.05400341816175635,0.4056603773584906,0.010747181490907006,0.4528301886792453,0.16282815820008623,0.5943396226415094,0.017858803075103024
naive,212,0.08710126632142443,0.11684368935612315,0.23288636791053585,0.2417713364636453,0.169688187603719,0.09298023819860991,-7.257277271918486,-1.7978439033064488,0.03773584905660377,1.7035889287562898e-35,0.06132075471698113,1.2103784310015334e-34,0.03773584905660377,2.2532323718608075e-35,0.02358490566037736,3.2840451157204446e-35
egarch,212,0.08762247388982994,0.6549628077621334,0.23981863570545553,0.2975368747023155,0.15621269081094208,-4.1478582308412415,-7.284413673174106,1547557.9663527594,0.1650943396226415,3.168972524828593e-25,0.14150943396226415,1.317029822109994e-28,0.1650943396226415,2.483624476799595e-26,0.25,5.273817139801539e-14
ewma,212,0.09027778232939121,0.1139014142942421,0.2421452865511166,0.24821699532251443,0.14360443558616637,0.09443588632834835,-7.285290301328057,-7.31879860379927,0.10849056603773585,1.0779950585758724e-28,0.1179245283018868,1.4742288172418934e-30,0.10849056603773585,1.4296834430306983e-29,0.17452830188679244,4.545837171724992e-19
garch,212,0.09194738278391969,0.12135654103763835,0.24221846737871722,0.25663846882520885,0.1383164724137685,0.022776400123275913,-7.283061136841899,-7.299097903759809,0.08962264150943396,5.402250957088112e-29,0.08490566037735849,4.75394638454124e-32,0.08962264150943396,1.5326003296702239e-30,0.19811320754716982,1.0786509788810314e-18
